,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,exists?
2461260,8319389,de,88,0.9,Regiment Asow,https://de.wikipedia.org/wiki/Regiment Asow,,,,,,,,,
1051576,747924,de,88,0.9,Elohim,https://de.wikipedia.org/wiki/Elohim,,,,,,,,,
952973,494242,de,88,0.9,Milchkuh,https://de.wikipedia.org/wiki/Milchkuh,,,,,,,,,
949328,484825,de,88,0.9,Taiji Kase,https://de.wikipedia.org/wiki/Taiji Kase,,,,,,,,,
1180248,1083101,de,88,0.9,Farbenlehre,https://de.wikipedia.org/wiki/Farbenlehre,,,,,,,,,
315818,2484179,de,88,0.9,Sexualität,https://de.wikipedia.org/wiki/Sexualität,,,,,,,,,
688463,3887358,de,88,0.9,Lamya Kaddor,https://de.wikipedia.org/wiki/Lamya Kaddor,,,,,,,,,
1133637,960446,de,88,0.9,Kentucky Fried Chicken,https://de.wikipedia.org/wiki/Kentucky Fried Chicken,,,,,,,,,
134532,1827398,de,88,0.9,SRAM (Unternehmen),https://de.wikipedia.org/wiki/SRAM (Unternehmen),,,,,,,,,
1048426,739765,de,88,0.9,Alawiten,https://de.wikipedia.org/wiki/Alawiten,,,,,,,,,
975051,552582,de,88,0.9,Vertrauensfrage,https://de.wikipedia.org/wiki/Vertrauensfrage,,,,,,,,,
1156863,1017495,de,88,0.9,Dietzenbach,https://de.wikipedia.org/wiki/Dietzenbach,,,,,,,,,
1056537,761499,de,88,0.9,Theodore Roosevelt,https://de.wikipedia.org/wiki/Theodore Roosevelt,,,,,,,,,
996967,607803,de,88,0.9,Definitheit,https://de.wikipedia.org/wiki/Definitheit,,,,,,,,,
1916024,6379592,de,88,0.9,Die Zeitgeist Bewegung,https://de.wikipedia.org/wiki/Die Zeitgeist Bewegung,,,,,,,,,
795001,157248,de,88,0.9,Amerikanischer Unabhängigkeitskrieg,https://de.wikipedia.org/wiki/Amerikanischer Unabhängigkeitskrieg,,,,,,,,,
779014,126027,de,88,0.9,Ernährung des Menschen,https://de.wikipedia.org/wiki/Ernährung des Menschen,,,,,,,,,
1078830,821618,de,88,0.9,Bandscheibenvorfall,https://de.wikipedia.org/wiki/Bandscheibenvorfall,,,,,,,,,
7855,11619,de,88,0.9,Pinneberg,https://de.wikipedia.org/wiki/Pinneberg,,,,,,,,,
761753,93346,de,88,0.9,Nitroglycerin,https://de.wikipedia.org/wiki/Nitroglycerin,,,,,,,,,
856816,283230,de,88,0.9,Johannes Bückler,https://de.wikipedia.org/wiki/Johannes Bückler,,,,,,,,,
752456,76067,de,88,0.9,Messgröße,https://de.wikipedia.org/wiki/Messgröße,,,,,,,,,
